id,class_1,class_2,class_3,class_4
100000,0.076317094,0.6229087,0.19067742,0.110096775
100001,0.050011016,0.73227006,0.124950774,0.09276815
100002,0.07908519,0.66252977,0.16939081,0.08899421
100003,0.073214,0.592293,0.25600561,0.078487344
100004,0.08603691,0.62716186,0.17999049,0.106810756
100005,0.065807074,0.43793455,0.370526,0.12573236
100006,0.0783382,0.38766056,0.38815576,0.14584546
100007,0.10367687,0.743467,0.099962585,0.05289352
100008,0.065626174,0.60535437,0.19651128,0.13250819
100009,0.08844429,0.5554372,0.20651071,0.14960778
100010,0.07263144,0.58059645,0.19040737,0.15636474
100011,0.058559287,0.7673506,0.077417135,0.09667295
100012,0.08474897,0.4403034,0.30501053,0.16993715
100013,0.09264695,0.53139627,0.23085207,0.14510472
100014,0.14474683,0.5331634,0.2219643,0.100125454
100015,0.0845627,0.5063711,0.24910733,0.15995885
100016,0.077437215,0.558687,0.17691047,0.18696535
100017,0.082218096,0.49771345,0.29869258,0.121375896
100018,0.08047854,0.5401533,0.2767058,0.10266233
100019,0.062112212,0.68003577,0.11659633,0.14125565
100020,0.05593181,0.51133573,0.25861984,0.17411259
100021,0.07962896,0.45047614,0.38683397,0.083060935
100022,0.08342672,0.477159,0.3469445,0.09246976
100023,0.10857794,0.49690342,0.23941691,0.15510173
100024,0.08948617,0.64199924,0.14717822,0.121336356
100025,0.09906403,0.501593,0.19248448,0.20685847
100026,0.09454605,0.5263399,0.28359216,0.09552187
100027,0.13446243,0.496743,0.3288228,0.039971787
100028,0.08313402,0.58087534,0.18108684,0.15490384
100029,0.06973057,0.5761559,0.27033222,0.08378129
100030,0.08618292,0.5854996,0.21762124,0.110696256
100031,0.08938632,0.57284737,0.22816584,0.10960049
100032,0.06594982,0.36126354,0.42892203,0.14386457
100033,0.08333101,0.4864553,0.31661424,0.11359946
100034,0.09530919,0.5084348,0.28556103,0.110695004
100035,0.14041053,0.6163393,0.14314796,0.100102216
100036,0.08222606,0.37600338,0.332216,0.20955457
100037,0.07810692,0.5016786,0.21786658,0.20234792
100038,0.09609615,0.46157527,0.3721532,0.07017543
100039,0.08156785,0.57501465,0.17706561,0.16635188
100040,0.079482414,0.59258294,0.20416325,0.123771384
100041,0.06850424,0.60256743,0.1264475,0.20248088
100042,0.055720672,0.5149233,0.18297245,0.24638364
100043,0.091921255,0.55010235,0.2150698,0.14290659
100044,0.08061541,0.62604344,0.1346945,0.1586466
100045,0.046689477,0.6183092,0.24897364,0.086027734
100046,0.056233276,0.7020409,0.13227256,0.10945328
100047,0.06644795,0.5600537,0.16171166,0.2117867
100048,0.08354576,0.70676684,0.1509886,0.05869876
100049,0.06936806,0.54997903,0.23754936,0.14310353
100050,0.085576735,0.607137,0.23662938,0.070656806
100051,0.07543888,0.61471283,0.13374032,0.17610797
100052,0.07819267,0.6161072,0.16765769,0.13804242
100053,0.07730021,0.5676957,0.1393153,0.2156888
100054,0.06443214,0.32357755,0.45879722,0.15319315
100055,0.10903555,0.7182481,0.118563905,0.054152396
100056,0.090306096,0.4978416,0.26609576,0.14575659
100057,0.09661516,0.5189514,0.32752982,0.05690362
100058,0.07110977,0.4005645,0.41507396,0.11325179
100059,0.05874532,0.68755835,0.14502227,0.108674094
100060,0.078533016,0.42168388,0.22805138,0.27173176
100061,0.08377857,0.5858624,0.17608225,0.15427676
100062,0.097182706,0.6339936,0.117997035,0.15082665
100063,0.08363307,0.49436402,0.2937756,0.12822734
100064,0.10334834,0.5202462,0.2281306,0.14827484
100065,0.08160005,0.49574903,0.19833156,0.2243194
100066,0.07996939,0.7019506,0.12538843,0.092691585
100067,0.083773494,0.48573616,0.29044017,0.14005019
100068,0.07385505,0.4965248,0.25297466,0.17664544
100069,0.06408379,0.5140409,0.3815872,0.040288106
100070,0.0789362,0.4550049,0.21700715,0.24905173
100071,0.06339718,0.6793836,0.14124899,0.115970224
100072,0.07194564,0.60111713,0.1757707,0.15116656
100073,0.12028422,0.64462936,0.1571321,0.07795428
100074,0.06969073,0.70590794,0.13200055,0.09240083
100075,0.074711956,0.53426045,0.19691804,0.19410959
100076,0.0957088,0.6172541,0.14760625,0.1394308
100077,0.090196565,0.63170904,0.22461851,0.05347583
100078,0.07324568,0.65390384,0.1316881,0.1411624
100079,0.06959212,0.5818554,0.19418865,0.15436377
100080,0.08457739,0.5983746,0.17962597,0.13742204
100081,0.06924536,0.5689087,0.24318688,0.11865906
100082,0.08809869,0.59270835,0.19225071,0.12694222
100083,0.076878935,0.5259121,0.16418657,0.23302239
100084,0.08863994,0.7286978,0.11857596,0.06408628
100085,0.077276655,0.5076288,0.18098336,0.23411117
100086,0.1049461,0.49719357,0.2512518,0.14660859
100087,0.10498803,0.6212832,0.12653108,0.14719777
100088,0.079233915,0.5652045,0.1393875,0.21617405
100089,0.0769995,0.5038756,0.24549033,0.17363457
100090,0.07585742,0.5805063,0.14866537,0.19497085
100091,0.05430555,0.6784684,0.1741984,0.09302767
100092,0.102150805,0.57265437,0.16099364,0.1642012
100093,0.09366566,0.58213973,0.22480157,0.09939301
100094,0.0856005,0.57451963,0.204715,0.13516483
100095,0.08356422,0.5304885,0.2500585,0.1358888
100096,0.05821337,0.72421116,0.13704574,0.080529705
100097,0.09957361,0.4151791,0.375522,0.10972528
100098,0.115501784,0.4851808,0.30607346,0.09324399
100099,0.10127923,0.6436487,0.1870608,0.06801133
100100,0.07205009,0.71831465,0.116363436,0.093271844
100101,0.07659778,0.43089944,0.3058966,0.1866062
100102,0.094030656,0.51578707,0.21236402,0.17781825
100103,0.08985841,0.519048,0.23432927,0.1567644
100104,0.06294315,0.5627855,0.21839413,0.15587719
100105,0.08546477,0.45319584,0.25346008,0.20787928
100106,0.09005939,0.5268632,0.1890855,0.19399193
100107,0.0645096,0.6128748,0.26188076,0.06073483
100108,0.0656318,0.591798,0.19305491,0.1495153
100109,0.0974876,0.51084656,0.22391747,0.16774839
100110,0.128553,0.6236189,0.15945241,0.088375695
100111,0.10275413,0.6018628,0.16634881,0.12903425
100112,0.1511508,0.49200872,0.2627947,0.09404575
100113,0.07907403,0.6033337,0.2314081,0.086184174
100114,0.09258863,0.6632862,0.12454854,0.119576596
100115,0.090993196,0.7058713,0.13518146,0.06795409
100116,0.10000096,0.5438401,0.2409923,0.11516665
100117,0.05584452,0.6892337,0.12492296,0.12999882
100118,0.08676435,0.49690658,0.22062133,0.1957077
100119,0.10203911,0.50097024,0.30118066,0.09580998
100120,0.06500352,0.6529551,0.14547868,0.13656269
100121,0.13912307,0.6460951,0.1723363,0.042445548
100122,0.08634531,0.49672505,0.32549024,0.09143942
